ORDUA-HORA|ZENB-ESCRUT.|ESPARRUARREN KOD.-COD.AMBITO|ESPARRUAREN IZENA-NOMBRE AMBITO|ZENTSUA-CENSO|HAUTETSIAK-ELECTOS|PARTE HARTZE %-% PARTICIPACION|HAUTESLEAK-VOTANTES|BALIOGABEAK-NULOS|BALIOZKOAK-VALIDOS|ZURIAK-BLANCOS|AURKEZTUTAKO HAUTAGAIAK|1 HAUTAGAIA-CANDIDATURA 1|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|2 HAUTAGAIA-CANDIDATURA 2|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|3 HAUTAGAIA-CANDIDATURA 3|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|4 HAUTAGAIA-CANDIDATURA 4|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|5 HAUTAGAIA-CANDIDATURA 5|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|6 HAUTAGAIA-CANDIDATURA 6|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|7 HAUTAGAIA-CANDIDATURA 7|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|8 HAUTAGAIA-CANDIDATURA 8|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|9 HAUTAGAIA-CANDIDATURA 9|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|10 HAUTAGAIA-CANDIDATURA 10|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|11 HAUTAGAIA-CANDIDATURA 11|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|12 HAUTAGAIA-CANDIDATURA 12|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|13 HAUTAGAIA-CANDIDATURA 13|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|14 HAUTAGAIA-CANDIDATURA 14|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|15 HAUTAGAIA-CANDIDATURA 15|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|ANTEULT.ESCAÑO|ULTIMO ESCAÑO|PARTIDO 1 OPTA ULT.ESCAÑO|VOTOS PARTIDO 1|PARTIDO 2 OPTA ULT.ESCAÑO|VOTOS PARTIDO 2|
11:22|100.00|10|ANOETA|1483|9|93.25|1383|416|967|208|3|EUSKAL HERRIA BILDU|42.81|414|6|P.SOCIALISTA EUSKADI-EE(PSOE)|28.54|276|3|EUZKO ALDERDI JELTZALEA - PNV|7.13|69|0| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |EUSKAL HERRIA BILDU|EUSKAL HERRIA BILDU|EUZKO ALDERDI JELTZALEA - PNV|1|P.SOCIALISTA EUSKADI-EE(PSOE)|1|#
11:22|100.00|11|ANTZUOLA|1673|11|94.02|1573|474|1099|237|3|EUSKAL HERRIA BILDU|42.85|471|6|P.SOCIALISTA EUSKADI-EE(PSOE)|28.57|314|4|EUZKO ALDERDI JELTZALEA - PNV|7.00|77|1| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |P.SOCIALISTA EUSKADI-EE(PSOE)|EUZKO ALDERDI JELTZALEA - PNV|EUSKAL HERRIA BILDU|69|P.SOCIALISTA EUSKADI-EE(PSOE)|72|#
11:22|100.00|12|ARAMA|147|5|86.39|127|7|120|3|8|JAIONE BENDOIRO ALDASORO|15.08|70|1|ALAINE GOICOECHEA ARIZMENDI|15.08|70|1|ALOÑA URRETABIZKAIA MENDIZABAL|15.08|70|1|JOSEBA BASARTE GALARZA|15.08|70|1|MIKEL TURRIENTES GONZALEZ|9.91|46|1|ASIER MUJIKA OTEGI|9.91|46|0|UNAI GALPARSORO PRESA|9.91|46|0|RICARDO RODRIGUEZ RODRIGUEZ|9.91|46|0| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |0| |0|#
11:22|100.00|13|ARETXABALETA|5409|13|92.60|5009|1151|3858|570|4|EUSKAL HERRIA BILDU|38.82|1498|6|P.SOCIALISTA EUSKADI-EE(PSOE)|25.86|998|4|IRABAZI-GANAR ARETXABALETA|14.15|546|2|EUZKO ALDERDI JELTZALEA - PNV|6.37|246|1| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |P.SOCIALISTA EUSKADI-EE(PSOE)|EUZKO ALDERDI JELTZALEA - PNV|IRABAZI-GANAR ARETXABALETA|193|EUSKAL HERRIA BILDU|225|#
11:22|100.00|14|ASTEASU|1125|9|91.11|1025|310|715|153|3|EUZKO ALDERDI JELTZALEA - PNV|42.93|307|5|ASTEASU BATUZ|28.67|205|4|P.SOCIALISTA EUSKADI-EE(PSOE)|6.99|50|0| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |EUZKO ALDERDI JELTZALEA - PNV|ASTEASU BATUZ|EUZKO ALDERDI JELTZALEA - PNV|2|P.SOCIALISTA EUSKADI-EE(PSOE)|3|#
11:22|100.00|15|ATAUN|1280|9|92.18|1180|357|823|177|3|EUSKAL HERRIA BILDU|42.89|353|6|P.SOCIALISTA EUSKADI-EE(PSOE)|28.55|235|3|HERRIGINTZA|7.04|58|0| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |EUSKAL HERRIA BILDU|EUSKAL HERRIA BILDU|P.SOCIALISTA EUSKADI-EE(PSOE)|2|HERRIGINTZA|2|#
11:22|100.00|16|AIA|1533|11|93.47|1433|434|999|215|3|EUZKO ALDERDI JELTZALEA - PNV|42.94|429|6|P.SOCIALISTA EUSKADI-EE(PSOE)|28.52|285|4|EUSKAL HERRIA BILDU|7.00|70|1| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |P.SOCIALISTA EUSKADI-EE(PSOE)|EUSKAL HERRIA BILDU|EUZKO ALDERDI JELTZALEA - PNV|62|P.SOCIALISTA EUSKADI-EE(PSOE)|66|#
11:22|100.00|17|AZKOITIA|8627|17|92.46|7977|1302|6675|646|5|P.SOCIALISTA EUSKADI-EE(PSOE)|33.33|2225|7|IRABAZI AZKOITIA BAI|29.79|1989|6|EUSKAL HERRIA BILDU|17.82|1190|3|PARTIDO POPULAR|5.85|391|1|EUZKO ALDERDI JELTZALEA - PNV|3.50|234|0| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |IRABAZI AZKOITIA BAI|P.SOCIALISTA EUSKADI-EE(PSOE)|EUSKAL HERRIA BILDU|83|EUZKO ALDERDI JELTZALEA - PNV|100|#
11:22|100.00|18|AZPEITIA|11106|17|92.34|10256|3582|6674|1784|4|P.SOCIALISTA EUSKADI-EE(PSOE)|38.31|2557|10|EUSKAL HERRIA BILDU|22.92|1530|6|PARTIDO POPULAR|7.56|505|1|EUZKO ALDERDI JELTZALEA - PNV|4.46|298|0| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |P.SOCIALISTA EUSKADI-EE(PSOE)|EUSKAL HERRIA BILDU|PARTIDO POPULAR|6|EUZKO ALDERDI JELTZALEA - PNV|36|#
11:22|100.00|19|BEASAIN|10126|17|93.08|9426|3293|6133|1639|4|EUSKAL HERRIA BILDU|38.33|2351|10|P.SOCIALISTA EUSKADI-EE(PSOE)|22.89|1404|6|PARTIDO POPULAR|7.56|464|1|EUZKO ALDERDI JELTZALEA - PNV|4.48|275|0| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |EUSKAL HERRIA BILDU|P.SOCIALISTA EUSKADI-EE(PSOE)|PARTIDO POPULAR|5|EUZKO ALDERDI JELTZALEA - PNV|32|#
11:22|100.00|20|BEIZAMA|131|5|84.73|111|7|104|3|8|JAVIER GARCIA OLAZABAL|15.00|60|1|ANA ISABEL CORIA ALDAY|15.00|60|1|ISAAC GONZALEZ SOLOZABAL|15.00|60|1|AGUSTIN LUCIO FERNANDEZ|15.00|60|1|MARIA DOLORES OTAÑO GARCIARENA|10.00|40|1|PEDRO MARIA OTAEGUI URKIZU|10.00|40|0|JOSE LUIS UGARTEMENDIA ARREGUI|10.00|40|0|IRUNE ECHEVERRIA AMILIBIA|10.00|40|0| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |0| |0|#
11:22|100.00|21|BELAUNTZA|202|7|75.24|152|80|72|39|3|DENOK BAT|30.55|22|5|GAZTEAK AURRERA|9.72|7|1|P.SOCIALISTA EUSKADI-EE(PSOE)|5.55|4|1| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |DENOK BAT|P.SOCIALISTA EUSKADI-EE(PSOE)|GAZTEAK AURRERA|2|DENOK BAT|3|#
11:22|100.00|22|BERASTEGI|824|9|93.93|774|398|376|199|3|EUZKO ALDERDI JELTZALEA - PNV|30.85|116|6|EUSKAL HERRIA BILDU|10.10|38|2|P.SOCIALISTA EUSKADI-EE(PSOE)|6.11|23|1| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |EUZKO ALDERDI JELTZALEA - PNV|EUSKAL HERRIA BILDU|P.SOCIALISTA EUSKADI-EE(PSOE)|16|EUZKO ALDERDI JELTZALEA - PNV|18|#
11:22|100.00|23|BERROBI|446|7|88.78|396|244|152|122|2|EUSKAL HERRIA BILDU|12.50|19|5|P.SOCIALISTA EUSKADI-EE(PSOE)|7.23|11|2| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |EUSKAL HERRIA BILDU|EUSKAL HERRIA BILDU|P.SOCIALISTA EUSKADI-EE(PSOE)|2| |0|#
11:22|100.00|24|BIDANIA-GOIATZ|392|7|87.24|342|176|166|88|3|P.SOCIALISTA EUSKADI-EE(PSOE)|30.72|51|5|GARAI BERRIAK|10.24|17|1|EUSKAL HERRIA BILDU|6.02|10|1| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |P.SOCIALISTA EUSKADI-EE(PSOE)|EUSKAL HERRIA BILDU|GARAI BERRIAK|4|P.SOCIALISTA EUSKADI-EE(PSOE)|10|#
11:22|100.00|25|ZEGAMA|1168|9|91.43|1068|484|584|242|4|P.SOCIALISTA EUSKADI-EE(PSOE)|24.14|141|4|ZEGAMA LANTZEN|15.58|91|2|PARTIDO POPULAR|11.64|68|2|EUSKAL HERRIA BILDU|7.19|42|1| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |P.SOCIALISTA EUSKADI-EE(PSOE)|PARTIDO POPULAR|ZEGAMA LANTZEN|12|EUSKAL HERRIA BILDU|27|#
11:22|100.00|26|ZERAIN|203|7|75.36|153|90|63|44|2|ZERAINGO HERRI KANDIDATURA|23.80|15|6|EUSKAL HERRIA BILDU|6.34|4|1| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |ZERAINGO HERRI KANDIDATURA|ZERAINGO HERRI KANDIDATURA|EUSKAL HERRIA BILDU|2| |0|#
11:22|100.00|27|ZESTOA|2818|11|89.35|2518|1422|1096|707|4|PARTIDO POPULAR|22.71|249|9|EUSKAL HERRIA BILDU|6.66|73|2|P.SOCIALISTA EUSKADI-EE(PSOE)|4.19|46|0|EUZKO ALDERDI JELTZALEA - PNV|1.91|21|0| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |PARTIDO POPULAR|PARTIDO POPULAR|P.SOCIALISTA EUSKADI-EE(PSOE)|9|EUSKAL HERRIA BILDU|11|#
11:22|100.00|28|ZIZURKIL|2298|11|93.47|2148|1208|940|603|4|EUZKO ALDERDI JELTZALEA - PNV|22.65|213|9|P.SOCIALISTA EUSKADI-EE(PSOE)|6.70|63|2|EUSKAL HERRIA BILDU|4.36|41|0|PARTIDO POPULAR|2.12|20|0| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |EUZKO ALDERDI JELTZALEA - PNV|EUZKO ALDERDI JELTZALEA - PNV|EUSKAL HERRIA BILDU|6|P.SOCIALISTA EUSKADI-EE(PSOE)|9|#
11:22|100.00|29|DEBA|4311|13|93.04|4011|1591|2420|791|5|P.SOCIALISTA EUSKADI-EE(PSOE)|41.32|1000|10|EUZKO ALDERDI JELTZALEA - PNV|16.44|398|3|DEBARREN AHOTSA|4.83|117|0|PARTIDO POPULAR|3.18|77|0|EUSKAL HERRIA BILDU|1.52|37|0| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |P.SOCIALISTA EUSKADI-EE(PSOE)|P.SOCIALISTA EUSKADI-EE(PSOE)|EUZKO ALDERDI JELTZALEA - PNV|3|DEBARREN AHOTSA|4|#
11:22|100.00|30|EIBAR|21674|21|91.46|19824|7862|11962|3915|5|IRABAZI-GANAR EIBAR|41.33|4945|15|PARTIDO POPULAR|16.44|1967|6|EUZKO ALDERDI JELTZALEA - PNV|4.81|576|0|P.SOCIALISTA EUSKADI-EE(PSOE)|3.15|377|0|EUSKAL HERRIA BILDU|1.52|182|0| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |IRABAZI-GANAR EIBAR|PARTIDO POPULAR|EUZKO ALDERDI JELTZALEA - PNV|23|P.SOCIALISTA EUSKADI-EE(PSOE)|222|#
11:22|100.00|31|ELDUAIN|180|5|88.88|160|7|153|3|5|JOSE ANGEL URKIZU ODRIOZOLA|22.22|90|1|JUAN RAMON GURRUCHAGA LASA|22.22|90|1|GORETI SOROA MARTINEZ|22.22|90|1|MAITE BIZKARRONDO ARZALLUS|22.22|90|1|MIREN AMAIA ASKASIBAR AGIRRE|11.11|45|1| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |0| |0|#
11:22|100.00|32|ELGOIBAR|8859|17|90.40|8009|4511|3498|2244|4|PARTIDO POPULAR|22.75|796|13|EUZKO ALDERDI JELTZALEA - PNV|6.60|231|4|P.SOCIALISTA EUSKADI-EE(PSOE)|4.40|154|0|EUSKAL HERRIA BILDU|2.08|73|0| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |PARTIDO POPULAR|EUZKO ALDERDI JELTZALEA - PNV|PARTIDO POPULAR|14|P.SOCIALISTA EUSKADI-EE(PSOE)|21|#
11:22|100.00|33|ELGETA|871|9|94.25|821|466|355|233|3|P.SOCIALISTA EUSKADI-EE(PSOE)|23.09|82|7|EUSKAL HERRIA BILDU|6.76|24|2|GU GEU ELGETA|4.50|16|0| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |EUSKAL HERRIA BILDU|P.SOCIALISTA EUSKADI-EE(PSOE)|GU GEU ELGETA|2|EUSKAL HERRIA BILDU|13|#
11:22|100.00|34|ESKORIATZA|3176|11|93.70|2976|1013|1963|504|5|IRABAZI-GANAR ESKORIATZA|30.31|595|5|ESKORIATZAKO ELIZATEEN ELKARTE|14.87|292|2|EUZKO ALDERDI JELTZALEA - PNV|12.78|251|2|P.SOCIALISTA EUSKADI-EE(PSOE)|8.20|161|1|EUSKAL HERRIA BILDU|8.15|160|1| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |EUZKO ALDERDI JELTZALEA - PNV|IRABAZI-GANAR ESKORIATZA|ESKORIATZAKO ELIZATEEN ELKARTE|66|P.SOCIALISTA EUSKADI-EE(PSOE)|78|#
11:22|100.00|35|EZKIO-ITSASO|492|7|89.83|442|252|190|125|2|EZKIO-ITSASOKOAK|18.42|35|4|P.SOCIALISTA EUSKADI-EE(PSOE)|15.78|30|3| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |P.SOCIALISTA EUSKADI-EE(PSOE)|EZKIO-ITSASOKOAK|P.SOCIALISTA EUSKADI-EE(PSOE)|6| |0|#
11:22|100.00|36|HONDARRIBIA|13224|17|92.05|12174|3446|8728|1712|5|EUSKAL HERRIA BILDU|26.37|2302|6|ABOTSANITZ|20.81|1817|5|P.SOCIALISTA EUSKADI-EE(PSOE)|12.44|1086|2|EUZKO ALDERDI JELTZALEA - PNV|11.05|965|2|PARTIDO POPULAR|9.69|846|2| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |EUSKAL HERRIA BILDU|ABOTSANITZ|P.SOCIALISTA EUSKADI-EE(PSOE)|6|EUZKO ALDERDI JELTZALEA - PNV|127|#
11:22|100.00|37|GAINTZA|99|5|79.79|79|7|72|3|5|GARIKOITZ ARANBURU MUXIKA|22.28|41|1|JESUS M. GARMENDIA GOROSTIDI|22.28|41|1|IÑIGO GARMENDIA URDALLETA|22.28|41|1|ANE ORMAZABAL BALERDI|22.28|41|1|GAIZKA OLAETXEA BALERDI|10.86|20|1| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |0| |0|#
11:22|100.00|38|GABIRIA|392|7|87.24|342|195|147|97|2|AGRUPACION ELECTORES GABIRIA|18.36|27|4|P.SOCIALISTA EUSKADI-EE(PSOE)|15.64|23|3| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |P.SOCIALISTA EUSKADI-EE(PSOE)|AGRUPACION ELECTORES GABIRIA|P.SOCIALISTA EUSKADI-EE(PSOE)|5| |0|#
11:22|100.00|39|GETARIA|2112|11|92.89|1962|749|1213|374|4|P.SOCIALISTA EUSKADI-EE(PSOE)|30.58|371|5|EUSKAL HERRIA BILDU|14.50|176|2|PARTIDO POPULAR|12.86|156|2|EUZKO ALDERDI JELTZALEA - PNV|11.21|136|2| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |P.SOCIALISTA EUSKADI-EE(PSOE)|EUZKO ALDERDI JELTZALEA - PNV|EUSKAL HERRIA BILDU|29|P.SOCIALISTA EUSKADI-EE(PSOE)|38|#
